"ad_type","ts","t","clicks","imps","rpc","rpi","total_rev"
"dog_food",2019-04-22 08:00:00,1,0,103570,NA,NA,NA
"dog_food",2019-04-22 09:00:00,2,0,0,NA,NA,NA
"dog_food",2019-04-22 10:00:00,3,2401,6240,0.114429746629244,0.0440304487179487,274.75
"dog_food",2019-04-22 11:00:00,4,519,152640,0.174073758396149,0.000591850104821803,90.34
"dog_food",2019-04-22 12:00:00,5,3368,0,0.187714559957936,NA,632.22
"dog_food",2019-04-22 13:00:00,6,7523,110390,0.109485467306276,0.00746136425400851,823.66
"dog_food",2019-04-22 14:00:00,7,7870,41370,0.200356683932024,0.0381148175006043,1576.81
"dog_food",2019-04-22 15:00:00,8,8265,40120,0.23057213975601,0.0474995014955135,1905.68
"dog_food",2019-04-22 16:00:00,9,14100,180680,0.265425965679172,0.0207134713305291,3742.51
"dog_food",2019-04-22 17:00:00,10,15210,0,0.130978315768929,NA,1992.18
"dog_food",2019-04-22 18:00:00,11,14877,315870,0.24122933979239,0.0113615411403425,3588.77
"dog_food",2019-04-22 19:00:00,12,15939,0,0.220865666254554,NA,3520.38
"dog_food",2019-04-22 20:00:00,13,16562,99090,0.333663562788352,0.0557688969623575,5526.14
"dog_food",2019-04-22 21:00:00,14,15935,98160,0.268897003425215,0.0436518948655257,4284.87
"dog_food",2019-04-22 22:00:00,15,17761,313940,0.249547483961354,0.0141180161814359,4432.21
"dog_food",2019-04-22 23:00:00,16,13445,224260,0.145940552949962,0.00874953179345403,1962.17
"dog_food",2019-04-23 00:00:00,17,12288,222370,0.282688334362957,0.0156211269505779,3473.67
"dog_food",2019-04-23 01:00:00,18,13301,394350,0.237504959417582,0.00801077722835045,3159.05
"dog_food",2019-04-23 02:00:00,19,7669,25500,0.189226754064408,0.0569090196078431,1451.18
"dog_food",2019-04-23 03:00:00,20,6071,14950,0.138511547539022,0.056247491638796,840.9
"dog_food",2019-04-23 04:00:00,21,1651,128270,0.0940166505141322,0.00121010368753411,155.22
"dog_food",2019-04-23 05:00:00,22,3171,0,0,NA,0
"dog_food",2019-04-23 06:00:00,23,2673,86800,0.0233091147790039,0.000717857142857143,62.31
"dog_food",2019-04-23 07:00:00,24,4793,62260,0.0483217145563432,0.00372004497269515,231.61
"dog_food",2019-04-23 08:00:00,25,0,0,NA,NA,NA
"dog_food",2019-04-23 09:00:00,26,0,0,NA,NA,NA
"dog_food",2019-04-23 10:00:00,27,1158,0,0.0699070865943829,NA,80.95
"dog_food",2019-04-23 11:00:00,28,2193,0,0.103474551592028,NA,226.92
